id,name,code,is_active,created_at,updated_at
DIV_,Engineering,"",f,2025-12-31 07:33:08.579071,2025-12-31 07:52:52.8978
DIV_CORE_TECH,Core Tech,CORE_TECH,t,2025-12-31 07:57:53.836846,2025-12-31 07:57:53.83686
DIV_ENGINEERIN,Engineering,ENGINEERIN,t,2025-12-31 07:52:14.142392,2025-12-31 07:58:31.896829
DIV_OPERATION,Operation,OPERATION,t,2025-12-31 07:51:38.239274,2025-12-31 07:51:38.23928
DIV_QUALITY,Quality,QUALITY,t,2025-12-31 07:57:47.59191,2025-12-31 07:57:47.591916
DIV_SUPPLY_CHA,Supply Chain Management,SUPPLY_CHA,t,2025-12-31 07:58:04.849797,2025-12-31 07:58:04.849803
DIV_TECHNICAL_,Technical Support,TECHNICAL_,t,2025-12-31 07:57:36.14844,2025-12-31 07:57:36.14846
